"","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","incubation_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","Eigen.1","Eigen.2","Eigen.3","Eigen.4","Eigen.5","Eigen.6","Eigen.7","Eigen.8","Eigen.9","Eigen.10","IUCN","order","family","genus","taxonID"
"Echinops_telfairi",278.42,5.49,1,166.125,19,57.8284,29,7.67,50,NA,13,365,NA,NA,NA,116.4,17,NA,NA,NA,NA,NA,NA,NA,-1.33898078898851,0.79695707096381,-1.26393086333705,-0.129547140937614,-0.266379970122146,-0.260484574666426,-0.572685814644415,0.045686137195915,-0.278400123977501,3.5499278825898,"LC","Afrosoricida","Tenrecidae","Echinops","http://www.gbif.org/species/5218434"
"Geogale_aurita",NA,3.65,2,6.7,2.083333333,60.16908,35.84378,0.705,NA,NA,2.083333333,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,-1.33977792487653,0.797536567888576,-1.26619694460412,-0.129841544095115,-0.267133288335724,-0.261265091438296,-0.574958316439489,0.0458964264817799,-0.279932038807799,3.57640794941208,"LC","Afrosoricida","Tenrecidae","Geogale","http://www.gbif.org/species/2432151"
"Hemicentetes_nigriceps",48.57,5.02,2,124.7,2.741666667,54.48044,21.5,7.39,NA,NA,2.666666667,NA,NA,NA,NA,NA,18.25,NA,NA,6.099,NA,NA,NA,NA,-1.33745714159451,0.795849320168118,-1.25959596008731,-0.128983780002029,-0.264937905174447,-0.258990275157158,-0.568332280741451,0.0452831061441582,-0.275462370745563,3.49908152144718,"LC","Afrosoricida","Tenrecidae","Hemicentetes","http://www.gbif.org/species/2432142"
"Hemicentetes_semispinosus",46.19892,5.17,1.75,133,2.741666667,53.77522,20.94606,7.785,NA,NA,2.7,NA,NA,NA,NA,NA,18.25,NA,NA,NA,NA,NA,NA,NA,-1.33796937535683,0.796221692912527,-1.26105185072468,-0.129172910980559,-0.265421810484821,-0.259491638469982,-0.569791792414493,0.0454181505939017,-0.276446001774715,3.51607889647043,"LC","Afrosoricida","Tenrecidae","Hemicentetes","http://www.gbif.org/species/2432143"
"Limnogale_mergulus",NA,2.865,1,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7495,NA,NA,NA,NA,NA,NA,NA,-1.34026160487896,0.797888158836862,-1.26757081398999,-0.130019975071085,-0.267589684370658,-0.261737911436979,-0.57633403936284,0.0460236762279974,-0.280858463217617,3.59240064391122,"VU","Afrosoricida","Tenrecidae","Limnogale","http://www.gbif.org/species/2432145"
"Microgale_brevicaudata",NA,4.5,NA,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,-1.33565178038167,0.794537171312114,-1.25447441905202,-0.128318959367572,-0.263238409860002,-0.257229936501962,-0.563215669425099,0.0448101567646509,-0.272022431200587,3.43982268447204,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432136"
"Microgale_cowani",NA,NA,NA,12.235,1.083333333,NA,NA,NA,NA,NA,1.083333333,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,-1.3381546839417,0.796356438693051,-1.26157975791272,-0.129241553656349,-0.265597626872185,-0.259673857397633,-0.570323251425273,0.0454673859802441,-0.276805253211745,3.5223108453114,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432121"
"Microgale_dobsoni",669.592,2.66,NA,37.8,5.6,61.64,28.60984,3.95,NA,NA,5.6,669,NA,NA,NA,44.6,11,NA,NA,NA,NA,NA,NA,NA,-1.34042712320024,0.798008501866124,-1.26804189826077,-0.130081205807666,-0.26774644661918,-0.261900360344116,-0.57680746454017,0.0460675124960358,-0.281178082151323,3.59793600073062,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432129"
"Microgale_drouhardi",NA,NA,NA,12.2,1.083333333,NA,NA,NA,NA,NA,1.083333333,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,-1.33957315911933,0.797387752308555,-1.2656163951384,-0.129766201513725,-0.266940741315197,-0.261065667708976,-0.574378950123876,0.0458428902620451,-0.279542825580718,3.56970973610573,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432133"
"Microgale_dryas",NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,-1.33882434015175,0.796843297866808,-1.2634847398529,-0.129489110905093,-0.266231274134467,-0.260330444642191,-0.572235968197352,0.0456444445769376,-0.278095731768922,3.54464147656452,"VU","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432137"
"Microgale_fotsifotsy",NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6225,NA,NA,NA,NA,NA,NA,NA,-1.34057810527175,0.798118227060218,-1.26846987103568,-0.130136742659269,-0.267888364118886,-0.262047342095406,-0.577234405496895,0.0461069596514503,-0.281464823392371,3.60286912133958,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432120"
"Microgale_gracilis",NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,-1.34082005158971,0.798294105751731,-1.26915731823932,-0.130226035646073,-0.268116792729873,-0.262284001147433,-0.577923162028992,0.0461706775993149,-0.281928819196304,3.61088296580914,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432122"
"Microgale_gymnorhyncha",NA,NA,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,-1.33999501554014,0.797694404264714,-1.26681469525331,-0.129921832378888,-0.267338824118734,-0.261478077734145,-0.57557893198781,0.0459538862335284,-0.2803509335461,3.58366056257787,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432126"
"Microgale_longicaudata",NA,NA,NA,8.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,-1.34090274150379,0.79835424481226,-1.26939329695208,-0.130256740527925,-0.26819549976381,-0.262365593642372,-0.57816145451568,0.046192772509033,-0.282090230675625,3.61369004815449,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432130"
"Microgale_monticola",NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34074081658454,0.798236531848808,-1.26893305936121,-0.130196951866448,-0.26804252506818,-0.262207099711043,-0.577700060147961,0.0461500807464655,-0.281779271939294,3.60831654856648,"VU","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432134"
"Microgale_parvula",NA,NA,NA,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,-1.33834605857409,0.796495564482581,-1.26212384418697,-0.129312242441011,-0.265778512685041,-0.259861276423246,-0.570868966950864,0.045517886839852,-0.277173164682389,3.52867124174372,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432123"
"Microgale_principula",NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,-1.34087934352344,0.798337231844102,-1.26932666675741,-0.130248078176592,-0.268173317045538,-0.262342604532613,-0.578094429241811,0.0461865647236385,-0.282044951771845,3.6129052791276,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432131"
"Microgale_pusilla",NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,-1.33906378165177,0.797017451242571,-1.26416845516004,-0.129578094695765,-0.266459430710978,-0.260566984656741,-0.572927105959578,0.045708547137209,-0.278564219215205,3.55279606584461,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432125"
"Microgale_soricoides",NA,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,-1.34063326121721,0.798158350572145,-1.26862761059329,-0.130157284759009,-0.267941072230724,-0.262101998762184,-0.577394304177999,0.0461218022056132,-0.28157342353299,3.6047641493347,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432135"
"Microgale_taiva",NA,NA,NA,12.27,1.083333333,NA,NA,NA,NA,NA,1.083333333,NA,NA,NA,NA,NA,9.25,NA,NA,NA,NA,NA,NA,NA,-1.34089298424197,0.798347155847706,-1.26936571205169,-0.130253164703706,-0.268186373412513,-0.262356145146058,-0.57813406833197,0.046190245730548,-0.28207190025331,3.61337606412699,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432128"
"Microgale_talazaci",639,2.23,NA,46.05,5.833333333,61,29.38,3.64,NA,NA,5.8,639,NA,NA,NA,44,14,NA,NA,NA,NA,NA,NA,NA,-1.340836022818,0.798305735082144,-1.26920338302305,-0.130232054626664,-0.26813229575876,-0.262300095821853,-0.577970557358437,0.0461750956652024,-0.281961336331077,3.61145748933725,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432132"
"Microgale_thomasi",NA,NA,NA,22.9,2.908333333,NA,NA,NA,NA,NA,2.908333333,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,-1.3408792196388,0.798337123874659,-1.26932567935725,-0.130247916926323,-0.268172806907526,-0.262342045368583,-0.578092287943111,0.0461863356260894,-0.282042964048516,3.6128589867314,"LC","Afrosoricida","Tenrecidae","Microgale","http://www.gbif.org/species/2432119"
"Micropotamogale_lamottei",NA,3.93,NA,69.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,-1.33125476962384,0.791340424292651,-1.24196633464876,-0.126693508579245,-0.259077923846426,-0.252918832353627,-0.550656961595765,0.0436476090518565,-0.263549285332582,3.29320086054096,"VU","Afrosoricida","Tenrecidae","Micropotamogale","http://www.gbif.org/species/2432140"
"Micropotamogale_ruwenzorii",NA,1.86,NA,109.13,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,1.85,NA,NA,NA,NA,-1.33167306431543,0.791644383135042,-1.24315082879478,-0.12684715494244,-0.259470364405289,-0.25332521939893,-0.551836440610304,0.0437565290306236,-0.264340430623986,3.30678972680071,"LC","Afrosoricida","Tenrecidae","Micropotamogale","http://www.gbif.org/species/2432139"
"Oryzorictes_hova",NA,NA,NA,35.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6665,NA,NA,NA,NA,NA,NA,NA,-1.3352863846062,0.794271498266998,-1.25343426782216,-0.1281837526884,-0.262892227633925,-0.256871187783592,-0.562170029172593,0.0447133289308767,-0.271316361872859,3.42759185968549,"LC","Afrosoricida","Tenrecidae","Oryzorictes","http://www.gbif.org/species/2432112"
"Oryzorictes_tetradactylus",NA,NA,NA,35.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.375,NA,NA,NA,NA,NA,NA,NA,-1.33476723110925,0.793894162737709,-1.25196110450924,-0.127992502015186,-0.262403265919164,-0.25636470075611,-0.560697530541007,0.0445771989916185,-0.270326019493286,3.41052314846755,"DD","Afrosoricida","Tenrecidae","Oryzorictes","http://www.gbif.org/species/2432111"
"Potamogale_velox",NA,2.065,2,716.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,-1.33174552618454,0.791697175701571,-1.24336088738481,-0.126874656001611,-0.259541357331178,-0.253398971042461,-0.552054447755371,0.0437769000411693,-0.264490860892313,3.30946593169303,"LC","Afrosoricida","Tenrecidae","Potamogale","http://www.gbif.org/species/2432147"
"Setifer_setosus",198,3.04,1,304.11,14.1,57.52404,24,24.7,NA,NA,10.54166667,258,NA,NA,NA,427.6,20.25,NA,NA,NA,NA,NA,NA,NA,-1.33922704714488,0.797136102444957,-1.26463121329343,-0.129638143678115,-0.266612872596639,-0.260725900154425,-0.573388678019419,0.0457511918973639,-0.278874180548776,3.55812770265156,"LC","Afrosoricida","Tenrecidae","Setifer","http://www.gbif.org/species/5218437"
"Tenrec_ecaudatus",192.65988,16.89,1.5,885.795,8.7,60.24,27,21.38,225,NA,6.316666667,NA,NA,NA,NA,650,35.875,NA,NA,NA,NA,NA,NA,NA,-1.33881046174804,0.796833244488945,-1.26344655317901,-0.12948421509604,-0.266218939119189,-0.260317724465839,-0.572199937754781,0.0456411706390449,-0.278072497911491,3.54426265683256,"LC","Afrosoricida","Tenrecidae","Tenrec","http://www.gbif.org/species/5218435"
"Antilocapra_americana",540.84,1.89,1,45375,15.5,247.44468,91,3246.36,8900,NA,12,547,0.999315537,NA,61700,34779.3,140.5,NA,NA,NA,NA,NA,NA,NA,-1.59338556856416,2.86043579416297,-0.872104215531762,-2.41009770190883,-6.14748639196415,1.34534186236811,2.59726765267079,-0.0906461300894253,0.056424031659814,-0.444405558049132,"LC","Artiodactyla","Antilocapridae","Antilocapra","http://www.gbif.org/species/2440902"
"Addax_nasomaculatus",947.49486,1,1,94288.68,28.2,276,198,5600,NA,NA,25.685,NA,0.978781656,75000,112500,NA,170,NA,NA,NA,NA,NA,NA,NA,-1.62118309252699,2.92158628080581,-0.91932742922883,-2.57756983209552,-6.68681361729034,1.47095461273659,2.92684896725442,-0.104221363721512,0.0667814676469525,-0.561424440656781,"CR","Artiodactyla","Bovidae","Addax","http://www.gbif.org/species/2441101"
"Aepyceros_melampus",477.485,1,1,52500,25.6,196.74,167,5304.2,15900,NA,17.75,395,0.999315537,NA,62500,NA,146,NA,NA,NA,NA,NA,NA,NA,-1.61112844105002,2.89945573935815,-0.902163284658811,-2.51658023601382,-6.48995785963469,1.42507413570687,2.80598884010769,-0.099230226418633,0.0629592616704947,-0.517889119686671,"LC","Artiodactyla","Bovidae","Aepyceros","http://www.gbif.org/species/2441144"
"Alcelaphus_buselaphus",730,1,1.065,159000,22.5,242.66,193,10166.67,47894.46,NA,20,NA,0.972621492,NA,NA,NA,221.2495,NA,NA,NA,NA,NA,NA,NA,-1.6217251214316,2.92277967481009,-0.920255347144931,-2.58087072997114,-6.69748172486043,1.47344196447475,2.93341596852571,-0.104492954270125,0.0669898764325593,-0.563808635673899,"LC","Artiodactyla","Bovidae","Alcelaphus","http://www.gbif.org/species/5220185"
"Alcelaphus_caama",730,1,1.065,159968.93,22.5,242.66,193,10166.67,47894.46,NA,20,NA,0.972621492,NA,NA,NA,221.2495,NA,NA,NA,NA,NA,NA,NA,-1.62173975584589,2.92281182285731,-0.920279888702961,-2.58095730887939,-6.69775884437462,1.47350638727541,2.93358317976664,-0.104499792513836,0.0669950406141816,-0.563865670067011,NA,"Artiodactyla","Bovidae","Alcelaphus","http://www.gbif.org/species/5706330"
"Alcelaphus_lichtensteinii",550.45944,0.99,1.1,160847.83,2.908333333,236.59168,NA,15000,NA,NA,2.908333333,NA,0.999315537,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,-1.62169819542605,2.92272043824787,-0.920209581050087,-2.5807083912329,-6.69695880002282,1.47332016272541,2.93309624458327,-0.104479781148679,0.0669798214771159,-0.563694923795552,NA,"Artiodactyla","Bovidae","Alcelaphus","http://www.gbif.org/species/5706335"
"Ammodorcas_clarkei",NA,1,NA,28274.905,3,203.4824,NA,NA,NA,NA,2.620833333,NA,NA,NA,NA,NA,133.998,NA,NA,NA,NA,NA,NA,NA,-1.61220687627835,2.90183023552338,-0.904010121138144,-2.52315092854036,-6.5111970016168,1.43002645173121,2.81906753218675,-0.0997712245049813,0.06337451967021,-0.52264263681929,"VU","Artiodactyla","Bovidae","Ammodorcas","http://www.gbif.org/species/2441128"
"Ammotragus_lervia",394.09602,1.22,2,92500,21.7,151.80744,121.872,4500,NA,NA,21,NA,0.604941821,NA,NA,NA,154.9995,NA,NA,NA,NA,NA,NA,NA,-1.62210934525895,2.92362581419135,-0.92091443227982,-2.58321717310072,-6.70507211609799,1.47521221419183,2.93809716162798,-0.104686753950067,0.0671388078948388,-0.565517744463042,"VU","Artiodactyla","Bovidae","Ammotragus","http://www.gbif.org/species/2441005"
"Antidorcas_marsupialis",213.08,1,1.05,33571.24,20,169.49,122.96144,3910,NA,NA,19.79583333,565.25,0.999315537,33500,41000,NA,122.75,NA,NA,NA,NA,NA,NA,NA,-1.61310882755489,2.90381256929155,-0.905529526277561,-2.52852099823888,-6.52842219912203,1.43403345798482,2.8295073945615,-0.100199244711443,0.0636989228489259,-0.526254235748752,"LC","Artiodactyla","Bovidae","Antidorcas","http://www.gbif.org/species/2441064"
"Antilope_cervicapra",539.33834,1,1.9,37500,23.9,167.699,60,3848,NA,NA,21.25,NA,0.607200548,NA,NA,NA,122.5,NA,NA,NA,NA,NA,NA,NA,-1.61606015467967,2.91031224549835,-0.910593962589561,-2.5465538758626,-6.58676628419685,1.447641359819,2.86550347226715,-0.101689799256241,0.0648447583511165,-0.539413486469635,"LC","Artiodactyla","Bovidae","Antilope","http://www.gbif.org/species/2441065"
"Beatragus_hunteri",652.228,1,0.585,119000,23.6,238,NA,11050,NA,NA,16.6,1278.375,1,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,-1.62141838108288,2.92210499315469,-0.919734962801735,-2.57902625138366,-6.69154551660197,1.47205964788595,2.92979304455902,-0.104343834979246,0.0668762180649859,-0.56252729996588,"CR","Artiodactyla","Bovidae","Beatragus","http://www.gbif.org/species/4262734"
"Bison_bison",912,1,1,624577.07,33.5,274,273.16,20000,158000,NA,27,821,1.493155373,NA,731400,NA,290,NA,NA,NA,NA,NA,NA,NA,-1.61699589852238,2.91237142339372,-0.912188460931106,-2.55221561714975,-6.60502591090917,1.45189603726103,2.87669596247939,-0.102151610779238,0.0651979878295473,-0.543426819423206,"NT","Artiodactyla","Bovidae","Bison","http://www.gbif.org/species/2441176"
