row.number,BD,PFL,throt,ED,EP,GS,GSh,MP,BS,Site1,species,group
4071,0.363,0.176,2.315384615,0.064,0.55922865,0.020826446,1.285714286,0.388429752,0.462809917,AHMR,LEIUNI,Peren_longer
4081,0.354,0.177,2.323308271,0.065,0.34180791,0.015820408,1.342105263,0.13559322,0.5,AHMR,LEIUNI,Peren_longer
4091,0.334,0.163,2.06870229,0.065,0.407185629,0.01469679,1.373333333,0.21257485,0.479041916,AHMR,LEIUNI,Peren_longer
4105,0.359,0.168,2.18115942,0.063,0.431754875,0.017439796,1.302469136,0.298050139,0.43454039,AHMR,LEIUNI,Peren_longer
4115,0.342,0.162,2.084615385,0.062,0.488304094,0.018990867,1.419354839,0.277777778,0.50877193,AHMR,LEIUNI,Peren_longer
4121,0.32,0.161,2.459677419,0.061,0.571875,0.017959184,1.636363636,0.421875,0.53125,AHMR,LEIUNI,Peren_longer
4131,0.358,0.174,2.537878788,0.065,0.502793296,0.021038741,1.451612903,0.337988827,0.505586592,AHMR,LEIUNI,Peren_longer
4141,0.395,0.153,2.470588235,0.065,0.597468354,0.020950693,1.405172414,0.473417722,0.443037975,AHMR,LEIUNI,Peren_longer
4151,0.349,0.175,2.358778626,0.074,0.446991404,0.018506502,1.280373832,0.255014327,0.507163324,AHMR,LEIUNI,Peren_longer
4161,0.33,0.166,2.705426357,0.076,0.472727273,0.018710562,1.419354839,0.284848485,0.536363636,AHMR,LEIUNI,Peren_longer
4171,0.33,0.177,2.183206107,0.074,0.496969697,0.016225333,1.756756757,0.348484848,0.512121212,AHMR,LEIUNI,Peren_longer
4191,0.374,0.177,2.467153285,0.071,0.524064171,0.017061368,1.375,0.355614973,0.457219251,AHMR,LEIUNI,Peren_longer
4201,0.371,0.178,2.385185185,0.079,0.663072776,0.017456854,1.375,0.541778976,0.501347709,AHMR,LEIUNI,Peren_longer
4221,0.367,0.185,1.922535211,0.063,0.452316076,0.014666667,1.745454545,0.291553134,0.455040872,AHMR,LEIUNI,Peren_longer
4231,0.367,0.179,2.04137931,0.085,0.444141689,0.016236686,1.4,0.297002725,0.482288828,AHMR,LEIUNI,Peren_longer
4241,0.356,0.185,2.488888889,0.082,0.443820225,0.017700312,1.714285714,0.275280899,0.502808989,AHMR,LEIUNI,Peren_longer
4251,0.364,0.18,2.275362319,0.083,0.376373626,0.017808284,1.727272727,0.17032967,0.494505495,AHMR,LEIUNI,Peren_longer
4261,0.339,0.171,2.244274809,0.066,0.492625369,0.013611111,1.96,0.336283186,0.498525074,AHMR,LEIUNI,Peren_longer
